american,fast_food,mexican,chinese,italian,japanese,others,romantic,casual,classy,upscale,open_24,noise_level,business_id
1,0,0,0,0,0,0,0,1,0,0,0,2,Pd52CjgyEU3Rb8co6QfTPw
0,1,0,0,0,0,0,0,0,0,0,0,4,4srfPk1s8nlm1YusyDUbjg
1,0,0,0,0,0,0,0,0,0,0,0,4,n7V4cD-KqqE3OXk0irJTyA
0,0,0,0,1,0,0,0,0,0,0,0,4,F0fEKpTk7gAmuSFI0KW1eQ
0,1,0,0,0,0,0,0,0,0,0,0,4,Wpt0sFHcPtV5MO9He7yMKQ
1,0,0,0,0,0,0,0,1,0,0,0,2,W1Yr6c2XDx_RBjb6WsV-aQ
0,1,0,0,0,0,0,0,0,0,0,0,2,vzx1WdVivFsaN4QYrez2rw
1,0,0,0,0,0,0,0,1,0,0,0,2,Uy3_5nLo3sYkAuSX6mjdmg
0,0,0,0,1,0,0,0,1,0,0,0,2,dPxZI9lrKTl5dvFfnb1_Ig
0,0,1,0,0,0,0,0,0,0,0,0,4,WfB_SsYeKy83QQsqAAyGVQ
0,0,0,0,0,0,1,0,1,0,0,0,1,u29lf2yPd-qK5ThAS9FRQQ
1,0,0,0,0,0,0,0,1,0,0,0,3,KYEZATGRY5aD69ZR6VvyWQ
0,0,0,0,0,0,1,0,0,0,0,0,4,W8GVfGILy7an385lZSEvSw
1,0,0,0,0,0,0,0,0,0,0,0,4,wRmPV-RvcqcjeyUeOaJQCg
0,0,0,0,0,0,1,0,0,0,0,0,2,EgGdnaotJpPvxCFyZPJeUw
0,0,1,0,0,0,0,0,0,0,0,0,4,AfL8Ds7ex73tfVbq3EFWKg
0,1,0,1,0,0,0,0,1,0,0,0,2,WMj5Uj04pAqFxLMnJQcQqw
0,0,1,0,0,0,0,0,0,0,0,0,4,RGmBfqdFb0giLPG-SZbQUQ
0,0,0,0,0,0,1,0,0,0,0,0,2,NoSj3hV8Rlz_gUsOL4_EjQ
0,0,0,0,0,1,0,0,0,0,0,0,4,SlelFNxQz5PJbl6kkjI0OA
0,0,0,0,0,0,1,0,1,0,0,0,3,sUMi2q41l4AzOsmJMRY8zQ
0,0,0,0,0,0,1,0,1,0,0,0,2,_ewxwEwJM-IYfIYnKpQOZw
0,1,0,0,0,0,0,0,1,0,0,0,4,EEePiBwchl-TIBVcTdE0RA
0,1,0,0,0,0,0,0,0,0,0,0,4,yIZROHhe6hfmmzLCtTIEJQ
0,0,0,0,0,0,1,0,1,0,0,0,2,KhWl4Mwhm_Oqq0zIIz-0wQ
0,0,0,0,0,0,1,0,1,0,0,0,2,v0byOL8VL6v6muGa1anxFA
1,0,0,0,0,0,0,0,1,0,0,0,2,aNe8ofTYrealxqv7VtFTuw
0,0,0,0,0,0,1,0,1,0,0,0,1,pidpBdWsOFfe7pWypBIoiQ
1,0,0,0,0,0,0,0,1,0,0,0,2,PgJgpW4TKQ8IoALH2Yq-zA
1,0,0,0,0,0,0,0,1,0,0,0,2,w55IYhyLHUdsRlo_EvMmNQ
0,0,0,0,0,0,1,0,0,0,0,0,2,7kO8bObVGFa-T3mj6PVYsg
0,1,0,0,0,0,0,0,0,0,0,0,1,hJX8WoV-KbFVHojZ6i83Cg
1,1,0,0,0,0,0,0,1,0,0,0,2,gwYt_q3Ob7aQJIefIBsZiQ
0,0,1,0,0,0,0,0,1,0,0,0,2,kiU9C58n7dgygdrpjOQXMQ
0,1,1,0,0,0,0,0,0,0,0,0,3,bAdwf-n52f46-ZjlfJ1Hwg
0,0,0,0,0,0,1,0,0,0,0,0,2,ijg7qQCYnhUWBd5JUxbfvA
0,0,1,0,0,0,0,0,0,0,0,0,4,crGdKSRKi25R2vorZ7skzg
0,1,0,0,0,0,0,0,0,0,0,0,4,l_eFv9Q9Q8RBLqfJJXi9ug
1,0,0,0,0,0,0,0,0,0,0,0,4,ZPZYNq9fNu2GyeCSz7U-fg
0,0,0,0,0,0,1,0,1,0,0,0,2,AYe8rS3qBPuLHSwNOZSbcA
1,0,0,0,0,0,0,0,1,0,0,0,3,5_MrPFw9E0cMJ1Q0DJFZOQ
0,0,0,0,0,0,1,0,0,0,0,0,4,KPsu_1Q9XYRKWs_ZBTtlTg
0,1,0,1,0,0,0,0,0,0,0,0,2,tSbs8i_9Hlaommupjgn63Q
0,0,0,0,0,0,1,0,0,0,0,0,4,wwEg_6bHfTrOpn_bygIQZg
0,0,1,0,0,0,0,0,0,0,0,0,4,oIoq6WQbyRpPZClMkHQNlQ
1,0,0,0,0,0,0,0,1,0,0,0,2,OFw59czUoeeosFMKfRawmg
1,1,0,0,0,0,0,0,1,0,0,0,2,9CNObWIk7w8poCo5IAtgmw
0,0,1,0,0,0,0,0,1,0,0,0,2,7KkgMcbVaetryW1wwpzvvA
0,0,0,0,1,0,0,0,0,0,0,0,2,uIbZjRRqR1OR-t2NBCa1Wg
1,0,0,0,0,0,0,0,0,0,0,0,4,G54fcIaoI89tc6X285suRA
0,0,0,0,0,0,1,0,0,0,0,0,3,GisIy4El3OAxJwnkovgv_A
0,0,0,0,0,1,0,0,0,0,1,0,2,pyqnGlIfP9Zw8LLxBjyAiA
0,1,0,0,0,0,0,0,1,0,0,0,2,tro-hrljuY1cUAVFYauTlQ
0,0,1,0,0,0,0,0,1,0,0,0,2,_QvGAqMmrUIlxpby2Ul5Dg
0,1,0,0,0,0,0,0,0,0,0,0,2,YYRP-b61hjDljhWBfmUlDg
0,0,0,0,0,0,1,1,0,1,1,0,2,BG8lvZoPTrPJqcvTh-ytzg
0,0,0,1,0,0,0,1,1,1,0,0,1,JKTMgelIQ-VHn7SL5nyiWA
0,0,0,0,0,0,1,0,1,0,0,0,2,C4XsC2ZBtsl1EgjdVue3yA
0,0,1,0,0,0,0,0,1,0,0,0,2,4Pb7SlTK89uSdqOwMNM35A
0,0,1,0,0,0,0,0,0,0,0,0,4,J121PGT4oi5AqVbtMoEfVw
0,0,0,0,0,0,1,0,1,0,0,0,2,LpGCzgAKNSpzDNEUMVVtZA
1,0,0,0,0,0,0,0,0,1,0,0,2,iFCz-xI7CV98fcaB4Chh3g
0,0,1,0,0,0,0,0,0,0,0,0,4,tyCOrWRRqrg6sym4lKkVZg
0,0,1,0,0,0,0,0,0,0,0,0,4,2GfKCR3S8I2m0iiyEd3sKA
0,0,0,0,0,1,0,0,1,0,0,0,2,82YGtjc5KKikNiqBZ33qzw
0,1,0,0,0,0,0,0,1,0,0,0,2,zAhv5Pg3vUB_kzdCj0KtDg
0,0,0,0,0,0,1,0,0,0,0,0,4,DHUAQ4pzH9KKzGZDm1jZLg
0,0,1,0,0,0,0,0,0,0,0,0,2,kMGfuOZeBDNQJ4_pBjE26Q
0,0,0,0,0,0,1,0,1,0,0,0,2,VEcI0bURmJtf0B9UPSEMDA
2,0,0,0,0,0,0,0,1,0,0,0,2,luf0E5FPY-hv-uceL8QtBA
0,0,0,0,0,0,1,0,1,0,0,0,2,Rv1IiQaIIDunqzS8dSvHCw
1,0,0,0,0,0,0,0,0,0,0,0,1,FT99KLluYZA7vFZEIypIwQ
0,0,0,0,0,0,1,0,0,0,0,0,4,tZW4NLpEYinu4mIxdKj0Pw
0,1,0,0,0,0,0,0,0,0,0,0,2,gPzDw2Ms6JZRZhA2tyxItw
0,0,0,0,0,0,1,0,0,0,0,0,4,GGvjkKM74UnOh2NyvwTLZQ
0,0,0,0,0,0,1,0,0,0,0,0,2,MXpCVzm1V5OH05KO6n7ntA
0,1,0,0,0,0,0,0,1,0,0,0,2,qtZ50TWkfNS2UtLLuD1m8Q
0,0,1,0,0,0,0,0,0,0,0,0,4,2oCM63whZH_IW6kzxciysg
0,0,0,0,0,1,0,0,1,0,0,0,2,V1EdIokE0YYN__dNYfXRdA
1,0,0,0,0,0,0,0,0,0,0,0,2,LV-oONzEA22qiBEFK1sckA
0,0,0,0,0,0,1,0,0,0,0,0,2,vuqHcBCbxH36hCFsZ1W-0Q
0,0,0,1,0,0,0,0,0,0,0,0,4,0DQ31asd4IeOTI7dkZ3OXQ
0,0,0,0,0,0,1,0,0,0,0,0,2,mDtlBsfTUPDuASvUcKWSbw
1,0,0,0,0,0,0,0,0,1,0,0,1,16Fplxu-OwVmTEFxQAUP4g
0,0,0,0,0,0,1,0,0,0,0,0,4,kaVWvc71cXH9MKuQmDtVUA
0,1,0,0,0,0,0,0,1,0,0,0,2,dP1_wP59hvVDWNzFFS_6YQ
0,0,0,0,0,0,1,0,1,0,0,0,2,T5nTtSCSRoEYMsZPhF61wg
0,0,0,0,0,0,1,0,1,0,0,0,1,gKFDJ9IpFxt95DHxTN7ZHw
1,0,0,0,0,0,0,0,0,0,0,0,4,hJgdrSbwhkp3-GbAyS79Gg
1,0,0,0,0,0,0,0,0,0,0,0,1,GjbF1ZEbIpC2KqUbZ7KQWQ
0,0,0,0,0,0,1,0,1,1,0,0,1,vAuzGR-ufeLu3Y_U5UlO_w
0,1,0,0,0,0,0,0,0,0,0,0,2,A1ZRCrjOMOwQGj2hCYWDEQ
0,0,0,1,0,0,0,0,1,0,0,0,2,beuVp5CZxCdNvQIIPBS2rw
0,0,0,0,0,0,1,0,0,0,0,0,4,oL_fYqSHG63vR0TBMyoo_A
0,0,0,0,0,1,0,0,1,0,0,0,2,_8VkSb_Mryb6bHQxSWB7Pg
0,0,1,0,0,0,0,0,0,0,0,0,1,39BNnMLzx0UUwkWKxGeQKA
0,0,0,0,0,0,1,0,1,0,0,0,2,UEuvtQTKNS0w53oJTrwS2Q
0,0,1,0,0,0,0,0,1,0,0,0,2,wjf1uZNr6E4LQ0nUNHX5AA
0,0,0,0,0,0,1,0,1,0,0,0,2,kUntNQ5P9IrRzEoHdRxV-w
0,1,0,0,0,0,0,0,1,0,0,0,4,6WWXpMwIB7gTc4yZrkM-fQ
0,1,1,0,0,0,0,0,1,0,0,0,2,Ekxhn3gyMfoXslnVxhZn3w
0,0,0,0,0,0,1,0,1,0,0,0,2,jxbEwtV8Et1lm8ubk4AGuw
0,0,0,0,0,0,1,0,0,0,0,0,4,3weo8OctYcKoS_AV9OrOgw
0,0,0,1,0,0,0,0,1,0,0,0,2,Xqur5VuobC9WW3crdxZPBw
0,0,0,0,1,0,0,0,1,0,0,0,2,gtVPsVK83JkeyrN1C1ozeQ
0,0,1,0,0,0,0,0,0,0,0,0,4,Km7BcCSXb78oymx-Ek2P9w
1,0,0,0,0,0,0,0,1,0,0,0,2,AnXovUgUHJap3QaDRnjL1w
1,0,0,0,0,0,0,0,1,0,0,0,2,VYOtofDcgJIV5-vPUd4sZA
0,0,0,1,0,0,0,0,1,0,0,0,2,B19KKE75ZxqoR3EDuvA1qw
0,0,1,0,0,0,0,0,1,0,0,0,2,nM9NwHXy3EadihjJTG2i5w
2,0,0,0,0,0,0,0,1,0,0,0,2,p5rpYtxS5xPQjt3MXYVEwA
0,0,1,0,0,0,0,0,1,0,0,0,1,SknYYIK1rBNgYqNl4tYUPA
0,1,0,0,0,0,0,0,0,0,0,0,4,Z1HnNAGBt0y9uZX1a1_9sQ
0,0,0,0,0,0,1,0,0,0,0,0,3,5qK5rJxwo0cjP3vTf3lkSA
0,0,0,0,0,0,1,0,1,0,0,0,2,j2w6wlRmlaZaaErQus8ElQ
0,0,0,0,0,0,1,0,0,0,0,0,4,9hNuOUywLPHdSbAXtQ9DhQ
0,0,1,0,0,0,0,0,0,0,0,0,2,tfg08x88Mr4nEr8_bVal7w
1,0,0,0,0,0,0,0,1,0,0,0,2,mjhwLcuoenVW8oFhcNmlHA
1,0,0,0,0,0,0,0,1,0,0,0,4,1BtNZszIr8LvtPOhN0X4Mw
0,1,1,0,0,0,0,0,0,0,0,0,4,HiqYus6muaBFlZtHhES7XQ
1,0,0,0,0,0,0,0,1,0,0,0,3,7Xw_vv-ekUL2sTqipnKT0g
0,0,0,0,0,0,1,0,1,0,0,0,2,ZhLSAiRj9kANxf8m2SBfRA
0,0,0,0,0,0,1,0,1,0,0,0,2,NQXuoB9JTPUItHvouMgWjQ
0,0,0,0,1,0,0,0,1,0,0,0,1,OMUe6NNOFEe0VdAouIqAuA
0,0,0,0,0,0,1,0,0,0,0,0,4,RslaL6v-H9e3o2R-WrJKpA
0,0,0,0,0,0,1,0,1,0,0,0,1,mvMih24zuSw_dZyU_LEY7g
0,0,0,0,0,0,1,0,1,0,0,0,1,k-oXgIdQlBe9rn8rWfRUdw
0,0,0,1,0,0,0,0,1,0,0,0,2,S1N5-ZXwR4fUIPs6dLnBYQ
0,0,1,0,0,0,0,0,0,0,0,0,2,HV2vPReKp0n0E6zgjsu4Mg
1,0,0,0,0,0,0,0,1,0,0,0,2,Zrx25j1M794Nh8fUGB8E9A
0,0,0,0,0,0,1,0,0,0,0,0,4,xVlj8zOeyGMXpZpdbJj7Rw
1,0,0,0,0,0,0,0,0,0,0,0,4,GRLHdCXzmFCBbvvjRxXnrA
0,1,0,0,0,0,0,0,0,0,0,0,4,GStieDpK7oi2pXggQXi-Kg
0,0,0,1,0,1,0,0,1,0,0,0,3,QS7_BPmaBNvznOMhcVBemg
0,1,0,1,0,0,0,0,1,0,0,0,2,zEd3Ex_k3vHiBbBPWRrO7Q
0,0,0,0,0,0,1,0,0,0,0,0,2,9edPSkfXKsJmkZYIaOmA7Q
0,0,0,0,0,0,1,0,1,0,0,0,2,Wlcl0ITWjyhqCiSlPmSAlg
0,0,0,0,0,0,1,0,1,0,0,0,2,F2HKV9oJhnIKQ-M4Gt4Ftg
0,0,0,0,0,0,1,0,1,0,0,0,2,uHUcYpGlcdlu5m7oiZGY6w
0,0,0,0,0,1,0,0,1,0,0,0,2,5JjGTaZkHbbjBrzBODcsAQ
1,0,0,0,0,0,0,0,1,0,0,0,2,etzDsNjkCyQBoJcU2a3U-g
1,0,0,0,0,0,0,0,0,0,0,0,2,GT9Hx_Na0vH3Na7ym9dp4A
1,0,0,0,1,0,0,0,1,0,0,0,2,hh-N1r9O1JpvzGw1mp0bKw
2,0,0,0,0,0,0,0,0,0,0,0,2,2LZGeJy8qByYKB71ML-jcw
1,0,0,0,0,0,0,0,1,0,0,0,2,mZI_wVrLOjz4M-QIC9n-jA
0,0,0,0,0,0,1,0,1,0,0,0,2,FNe5PPA9pyj8FjcDefCBpg
0,1,0,0,0,0,0,0,0,0,0,0,2,Xgp67egWT56FmGrULkKOJg
0,0,0,0,0,0,1,0,0,0,0,0,2,z65wZ11iw7Y-WBZ9UDZhnA
0,0,0,0,0,0,1,0,0,0,0,0,4,5OLtY1-xR6LjeH3kJGJ5UA
0,0,0,0,0,0,1,0,1,0,0,0,2,kQabQnNavQ7FgfyuXf8Niw
0,0,0,0,0,0,1,0,1,0,0,0,2,TW58a4UkMcksdfQ7znUqsA
1,0,0,0,0,0,0,0,1,0,0,0,2,EqUlVPI8t9A96BIvWdW1pw
0,0,0,0,0,0,1,0,1,0,0,0,1,SWZ_GqiaAoc4JoUOosF0mg
0,0,0,0,0,0,1,0,0,0,0,0,2,m5niZy68d2gTtVWz89elfA
0,0,0,0,0,0,1,0,0,0,0,0,2,rYG3Bbsf3u2P4N4ZxQXyKw
0,1,1,0,0,0,0,0,0,0,0,0,2,UANNbspNsQEFUay5nALZYw
0,1,0,0,0,0,0,0,0,0,0,0,2,3CxiP8n7DAL-YOOTCW2wNw
0,0,0,0,0,0,1,0,0,0,0,0,1,WyyJdVQBFlPVITTmjgEhlQ
0,0,0,0,0,0,1,0,0,0,0,0,4,YHN7wVaOFp9wkl_w7NXLXw
0,0,0,0,1,0,0,1,0,0,0,0,1,SN6mvy2vbXL0F_CYFkx8zg
2,0,0,0,0,0,0,0,1,0,0,0,2,OVTZNSkSfbl3gVB9XQIJfw
0,0,1,0,0,0,0,0,1,0,0,0,2,JDZ6_yycNQFTpUZzLIKHUg
0,1,0,0,0,0,0,0,1,0,0,0,2,O0DxNujKaN-KIfcgbV3MgA
0,1,0,0,0,0,0,0,1,0,0,0,2,riFzCvp77DMKDX-5GoTpqA
1,0,0,0,0,0,0,0,1,0,0,0,2,E35tgfjzj5P5PV_w7Kgu8w
0,0,0,0,0,0,1,0,1,0,0,0,2,IRzXVRIzRoYpnjaVXF3vNA
0,1,0,0,0,0,0,0,1,0,0,0,2,S_PEroRv40j1In11gNH2LQ
1,0,0,0,0,0,0,0,0,0,0,0,4,HcFNeUjeqzhHw1Lk0FZarg
0,0,0,0,0,0,1,0,0,0,0,0,2,GSzgEBYd1hYebz1xi5jrmw
0,0,1,0,0,0,0,0,0,0,0,0,2,JIfSollg32ifUzTw2K4PDQ
1,0,0,0,0,0,0,0,0,0,0,0,4,jjJ06LdxITpFaz_EQaEvWQ
0,1,0,0,0,0,0,0,0,0,0,0,4,ZGwOOa93pc5hnsCLUgJJpQ
0,0,0,0,0,0,1,0,0,0,0,0,1,zp-K5s3pGTWuuaVBWo6WZA
0,0,0,0,0,0,1,0,1,0,0,0,2,ym5FOqL6tGbgynzwKMHZuw
1,0,0,0,0,0,0,0,0,0,0,0,1,nupAsas-_hc8225O_5APMQ
0,0,0,0,1,0,0,0,0,0,0,0,2,hdZ_4Vd9opGm5UajNUuhwA
0,1,0,0,0,0,0,0,0,0,0,0,1,2Y7voMZLcJ4YYC8_UjEuPg
0,1,0,0,0,0,0,0,0,0,0,0,2,P7Dqa0IbcFgRZ1aK7CPAOw
2,0,0,0,0,0,0,0,0,0,0,0,2,8fjF2NIPSM0Ar1hed2tdog
1,0,0,0,0,0,0,0,1,0,0,0,2,LCf4MZQcwgtniQUJ-MQBZA
0,0,0,0,0,0,1,0,0,0,0,0,4,alFchsneD8P49cy7aL_TMA
0,0,0,0,0,0,1,0,0,1,0,0,2,JPWg9acsCv_om9UFYGMJbA
0,0,0,0,0,0,1,0,0,0,0,0,4,0IbboCQAEQlROAv5PKKO_Q
0,0,0,0,0,0,1,0,0,0,0,0,2,ixGcDkuUrkAlRuqf42nbEA
0,0,0,0,0,1,0,0,1,0,0,0,2,-QNQ4R1VgRoL4b6lC8Anrg
0,0,0,0,1,0,0,0,0,0,0,0,2,G-5kEa6E6PD5fkBRuA7k9Q
1,0,0,0,0,0,0,0,0,0,0,0,4,0Tutx9JhCi_HE6MUnbh5vw
1,1,0,0,0,0,0,0,1,0,0,0,2,U-Uj13i0RkwgZ8e7I4Lf8w
0,0,0,0,0,1,0,0,1,0,0,0,1,NkuLKJJE_KxcxKs8Kj8thQ
0,0,0,0,0,0,1,0,0,0,0,0,4,TZM4eiv3CtR9CBPtknXgDw
0,0,1,0,0,0,0,0,0,0,0,0,4,nKbuoq0Kqdv0tSLFJhwFVQ
0,0,1,0,0,0,0,0,0,0,0,0,2,Kh1tvb7vDDp84bxdYyiOEA
2,0,1,0,0,0,0,0,1,0,0,0,2,vjhB95c5nOXflNoyq_jKzw
0,1,0,0,0,0,0,0,1,0,0,0,4,kaFItSnFuTSpmohv2jDbrQ
0,0,0,0,0,1,0,0,0,1,0,0,2,8bZ49zy4KlFVu5teFETYhQ
0,0,0,0,1,0,0,0,1,0,0,0,2,gKPGer8_b532vRzEjsXQxA
0,0,0,0,1,0,0,0,0,0,0,0,1,WRbBmXMHmdWOkeGp21OoeA
0,0,0,0,0,0,1,0,0,0,0,0,4,e--8ev5DbM_5cbveVTWAEg
0,0,0,0,0,0,1,0,0,0,0,0,2,SS4HgxPnEgF3cFPQFNDI1g
0,0,0,0,0,0,1,0,0,0,0,0,4,Nw24O7pZTBKtQ9_DFUiRgA
0,0,0,0,1,0,0,0,1,0,0,0,2,Ehy00JWQixgoXzisVKhvag
0,0,0,0,0,0,1,0,1,0,0,0,2,Q6kZqLHy-ikjMW-lBCXnKA
0,0,0,0,0,0,1,0,0,0,0,0,2,VNOz_tOw_Hz3FAJeEHb_yg
0,0,0,0,0,0,1,0,0,0,0,0,4,KWxTv7S3cWaMhv3QiW5C2g
1,0,0,0,0,0,0,0,1,0,0,0,2,DZN44_XFktITlIUec4H69w
0,0,0,0,0,0,1,0,0,0,0,0,2,ZfBKZPd2rdpW19m91YnHXw
0,0,0,1,0,0,0,0,1,0,0,0,1,opwxvFwYTppE0JgfM4FBlw
1,0,0,0,0,0,0,0,0,0,0,0,1,Nx2qOQBY9QGJnzcuPO9yyw
0,0,0,0,0,0,1,0,0,0,0,0,2,VsIx1NnhM5PA8prJjIZNYg
0,0,0,0,1,0,0,0,1,0,0,0,2,cgZOP1ZUBOZmEQMSJ53oiQ
0,0,0,0,0,0,1,0,0,0,0,0,4,A81a8oV8DAxnGLY2_r8dUQ
0,0,1,0,0,0,0,0,1,0,0,0,2,5t9kTG9DakuamJgY65HA7w
0,0,0,0,0,0,1,0,0,1,0,0,2,1Df5WnLX3DqN6ymlhqznaQ
0,0,0,0,0,0,1,0,1,0,0,0,2,inuW6Gl02Mf8G5RRk39_lw
0,0,0,0,0,0,1,0,1,0,0,0,1,jCNBZnkIFv_0omLVTgNR6Q
0,1,0,0,0,0,0,0,1,0,0,0,4,YrHVGQ8_Dcs5xCe78CvGmA
0,0,0,0,0,0,1,0,1,0,0,0,2,2sx52lDoiEtef7xgPCaoBw
1,0,0,0,0,0,0,0,1,0,0,0,2,FfHpj1QcW510pA3CS354xw
0,0,1,0,0,0,0,0,1,0,0,0,2,0QSnurP5Ibor2zepJmEIlw
0,0,0,0,0,0,1,0,0,0,0,0,4,q6LaVR4FlIyRC9yWIW5IXg
0,0,1,0,0,0,0,0,0,0,0,0,1,K-0pdH5hZQVeoUmYSNygQw
2,0,0,0,0,0,0,0,1,0,0,0,2,ET8WuErpImo0zxS673gLxw
0,0,0,0,0,0,1,0,0,0,0,0,1,ZcNe9rEAZVObPKFwtM8XaA
1,0,0,0,0,0,0,0,0,0,0,0,2,vmg_VdqXVOVhUoacU2pfdw
